# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/nwis/help/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2008-04-08 18:23:17 EDT
#
# Data for the following site(s) are contained in this file
#    USGS 05242300 MISSISSIPPI RIVER AT BRAINERD, MN
#    USGS 05270700 MISSISSIPPI RIVER AT ST. CLOUD, MN
#    USGS 05331000 MISSISSIPPI RIVER AT ST. PAUL, MN
#    USGS 05378500 MISSISSIPPI RIVER AT WINONA, MN
#    USGS 05389500 Mississippi River at McGregor, IA
#    USGS 05420500 Mississippi River at Clinton, IA
#    USGS 05587450 Mississippi River at Grafton, IL
#    USGS 07010000 Mississippi River at St. Louis, MO
#    USGS 07022000 Mississippi River at Thebes, IL
# -----------------------------------------------------------------------------------
#
# Data provided for site 05242300
#    DD parameter statistic   Description
#    10   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	10_00060_00003	10_00060_00003_cd
USGS	05242300	1990-02-11	1350	A
USGS	05242300	1990-02-12	1370	A
USGS	05242300	1990-02-13	1470	A
USGS	05242300	1990-02-14	1370	A
USGS	05242300	1990-02-15	1370	A
USGS	05242300	1990-02-16	1370	A
USGS	05242300	1990-02-17	1280	A
USGS	05242300	1990-02-18	1280	A
USGS	05242300	1990-02-19	1280	A
USGS	05242300	1990-02-20	1280	A
USGS	05242300	1990-02-21	1380	A
USGS	05242300	1990-02-22	1380	A
USGS	05242300	1990-02-23	1280	A
USGS	05242300	1990-02-24	1280	A
USGS	05242300	1990-02-25	1280	A
USGS	05242300	1990-02-26	1280	A
USGS	05242300	1990-02-27	1280	A
USGS	05242300	1990-02-28	1280	A
USGS	05242300	1990-03-01	1280	A
USGS	05242300	1990-03-02	1280	A
USGS	05242300	1990-03-03	1280	A
USGS	05242300	1990-03-04	1280	A
USGS	05242300	1990-03-05	1070	A
USGS	05242300	1990-03-06	1200	A
USGS	05242300	1990-03-07	1140	A
USGS	05242300	1990-03-08	1120	A
USGS	05242300	1990-03-09	1120	A
USGS	05242300	1990-03-10	1070	A
USGS	05242300	1990-03-11	1380	A
USGS	05242300	1990-03-12	1540	A
USGS	05242300	1990-03-13	2070	A
USGS	05242300	1990-03-14	2270	A
USGS	05242300	1990-03-15	2960	A
USGS	05242300	1990-03-16	3470	A
USGS	05242300	1990-03-17	4170	A
USGS	05242300	1990-03-18	4600	A
USGS	05242300	1990-03-19	4830	A
USGS	05242300	1990-03-20	4600	A
USGS	05242300	1990-03-21	4310	A
USGS	05242300	1990-03-22	4490	A
USGS	05242300	1990-03-23	4700	A
USGS	05242300	1990-03-24	4080	A
USGS	05242300	1990-03-25	3990	A
USGS	05242300	1990-03-26	3640	A
USGS	05242300	1990-03-27	3260	A
USGS	05242300	1990-03-28	3270	A
USGS	05242300	1990-03-29	3030	A
USGS	05242300	1990-03-30	3080	A
USGS	05242300	1990-03-31	3100	A
USGS	05242300	1990-04-01	3230	A
USGS	05242300	1990-04-02	3280	A
USGS	05242300	1990-04-03	3540	A
USGS	05242300	1990-04-04	3990	A
USGS	05242300	1990-04-05	4190	A
USGS	05242300	1990-04-06	4410	A
USGS	05242300	1990-04-07	4840	A
USGS	05242300	1990-04-08	4910	A
USGS	05242300	1990-04-09	4830	A
USGS	05242300	1990-04-10	4450	A
USGS	05242300	1990-04-11	4340	A
USGS	05242300	1990-04-12	3840	A
USGS	05242300	1990-04-13	3390	A
USGS	05242300	1990-04-14	3390	A
USGS	05242300	1990-04-15	3120	A
USGS	05242300	1990-04-16	2780	A
USGS	05242300	1990-04-17	2770	A
USGS	05242300	1990-04-18	2730	A
USGS	05242300	1990-04-19	2480	A
USGS	05242300	1990-04-20	2400	A
USGS	05242300	1990-04-21	2520	A
USGS	05242300	1990-04-22	1990	A
USGS	05242300	1990-04-23	1860	A
USGS	05242300	1990-04-24	1950	A
USGS	05242300	1990-04-25	2030	A
USGS	05242300	1990-04-26	2330	A
USGS	05242300	1990-04-27	2430	A
USGS	05242300	1990-04-28	3110	A
USGS	05242300	1990-04-29	5070	A
USGS	05242300	1990-04-30	5800	A
USGS	05242300	1990-05-01	7420	A
USGS	05242300	1990-05-02	7540	A
USGS	05242300	1990-05-03	7970	A
USGS	05242300	1990-05-04	8290	A
USGS	05242300	1990-05-05	8120	A
USGS	05242300	1990-05-06	7950	A
USGS	05242300	1990-05-07	8070	A
USGS	05242300	1990-05-08	7620	A
USGS	05242300	1990-05-09	7390	A
USGS	05242300	1990-05-10	6940	A
USGS	05242300	1990-05-11	5970	A
USGS	05242300	1990-05-12	5550	A
USGS	05242300	1990-05-13	4960	A
USGS	05242300	1990-05-14	5230	A
USGS	05242300	1990-05-15	4780	A
USGS	05242300	1990-05-16	4570	A
USGS	05242300	1990-05-17	4590	A
USGS	05242300	1990-05-18	4100	A
USGS	05242300	1990-05-19	4150	A
USGS	05242300	1990-05-20	3750	A
USGS	05242300	1990-05-21	3560	A
USGS	05242300	1990-05-22	3480	A
USGS	05242300	1990-05-23	3110	A
USGS	05242300	1990-05-24	3250	A
USGS	05242300	1990-05-25	3880	A
USGS	05242300	1990-05-26	3490	A
USGS	05242300	1990-05-27	3400	A
USGS	05242300	1990-05-28	3190	A
USGS	05242300	1990-05-29	3300	A
USGS	05242300	1990-05-30	3090	A
USGS	05242300	1990-05-31	2900	A
USGS	05242300	1990-06-01	3070	A
USGS	05242300	1990-06-02	3130	A
USGS	05242300	1990-06-03	3180	A
USGS	05242300	1990-06-04	5040	A
USGS	05242300	1990-06-05	6840	A
USGS	05242300	1990-06-06	7410	A
USGS	05242300	1990-06-07	7700	A
USGS	05242300	1990-06-08	7300	A
USGS	05242300	1990-06-09	7550	A
USGS	05242300	1990-06-10	7540	A
USGS	05242300	1990-06-11	7640	A
USGS	05242300	1990-06-12	7870	A
USGS	05242300	1990-06-13	8490	A
USGS	05242300	1990-06-14	8890	A
USGS	05242300	1990-06-15	8070	A
USGS	05242300	1990-06-16	7650	A
USGS	05242300	1990-06-17	7260	A
USGS	05242300	1990-06-18	7010	A
USGS	05242300	1990-06-19	6750	A
USGS	05242300	1990-06-20	6150	A
USGS	05242300	1990-06-21	5850	A
USGS	05242300	1990-06-22	5580	A
USGS	05242300	1990-06-23	5310	A
USGS	05242300	1990-06-24	5240	A
USGS	05242300	1990-06-25	5080	A
USGS	05242300	1990-06-26	4990	A
USGS	05242300	1990-06-27	4770	A
USGS	05242300	1990-06-28	4780	A
USGS	05242300	1990-06-29	4950	A
USGS	05242300	1990-06-30	4700	A
USGS	05242300	1990-07-01	4220	A
USGS	05242300	1990-07-02	3530	A
USGS	05242300	1990-07-03	3410	A
USGS	05242300	1990-07-04	3710	A
USGS	05242300	1990-07-05	3030	A
USGS	05242300	1990-07-06	2910	A
USGS	05242300	1990-07-07	2990	A
USGS	05242300	1990-07-08	3030	A
USGS	05242300	1990-07-09	3000	A
USGS	05242300	1990-07-10	3030	A
USGS	05242300	1990-07-11	3100	A
USGS	05242300	1990-07-12	2910	A
USGS	05242300	1990-07-13	2730	A
USGS	05242300	1990-07-14	2820	A
USGS	05242300	1990-07-15	2820	A
USGS	05242300	1990-07-16	2990	A
USGS	05242300	1990-07-17	2780	A
USGS	05242300	1990-07-18	3040	A
USGS	05242300	1990-07-19	2730	A
USGS	05242300	1990-07-20	2560	A
USGS	05242300	1990-07-21	2610	A
USGS	05242300	1990-07-22	2220	A
USGS	05242300	1990-07-23	1930	A
USGS	05242300	1990-07-24	1990	A
USGS	05242300	1990-07-25	1960	A
USGS	05242300	1990-07-26	1880	A
USGS	05242300	1990-07-27	2080	A
USGS	05242300	1990-07-28	1890	A
USGS	05242300	1990-07-29	1920	A
USGS	05242300	1990-07-30	2040	A
USGS	05242300	1990-07-31	2020	A
USGS	05242300	1990-08-01	1940	A
USGS	05242300	1990-08-02	1960	A
USGS	05242300	1990-08-03	1810	A
USGS	05242300	1990-08-04	1590	A
USGS	05242300	1990-08-05	1530	A
USGS	05242300	1990-08-06	1310	A
USGS	05242300	1990-08-07	1130	A
USGS	05242300	1990-08-08	1010	A
USGS	05242300	1990-08-09	1050	A
USGS	05242300	1990-08-10	844	A
USGS	05242300	1990-08-11	675	A
USGS	05242300	1990-08-12	1050	A
USGS	05242300	1990-08-13	987	A
USGS	05242300	1990-08-14	591	A
USGS	05242300	1990-08-15	836	A
USGS	05242300	1990-08-16	879	A
USGS	05242300	1990-08-17	813	A
USGS	05242300	1990-08-18	830	A
USGS	05242300	1990-08-19	556	A
USGS	05242300	1990-08-20	620	A
USGS	05242300	1990-08-21	658	A
USGS	05242300	1990-08-22	601	A
USGS	05242300	1990-08-23	571	A
USGS	05242300	1990-08-24	551	A
USGS	05242300	1990-08-25	559	A
USGS	05242300	1990-08-26	623	A
USGS	05242300	1990-08-27	685	A
USGS	05242300	1990-08-28	673	A
USGS	05242300	1990-08-29	681	A
USGS	05242300	1990-08-30	682	A
USGS	05242300	1990-08-31	686	A
USGS	05242300	1990-09-01	628	A
USGS	05242300	1990-09-02	616	A
USGS	05242300	1990-09-03	652	A
USGS	05242300	1990-09-04	688	A
USGS	05242300	1990-09-05	693	A
USGS	05242300	1990-09-06	688	A
USGS	05242300	1990-09-07	591	A
USGS	05242300	1990-09-08	817	A
USGS	05242300	1990-09-09	2300	A
USGS	05242300	1990-09-10	2080	A
USGS	05242300	1990-09-11	1930	A
USGS	05242300	1990-09-12	1640	A
USGS	05242300	1990-09-13	1050	A
USGS	05242300	1990-09-14	1360	A
USGS	05242300	1990-09-15	918	A
USGS	05242300	1990-09-16	1000	A
USGS	05242300	1990-09-17	944	A
USGS	05242300	1990-09-18	1020	A
USGS	05242300	1990-09-19	1220	A
USGS	05242300	1990-09-20	1060	A
USGS	05242300	1990-09-21	1110	A
USGS	05242300	1990-09-22	1140	A
USGS	05242300	1990-09-23	1250	A
USGS	05242300	1990-09-24	1180	A
USGS	05242300	1990-09-25	1470	A
USGS	05242300	1990-09-26	1480	A
USGS	05242300	1990-09-27	1490	A
USGS	05242300	1990-09-28	1400	A
USGS	05242300	1990-09-29	1280	A
USGS	05242300	1990-09-30	1290	A
USGS	05242300	1990-10-01	1160	A
USGS	05242300	1990-10-02	1100	A
USGS	05242300	1990-10-03	1460	A
USGS	05242300	1990-10-04	1130	A
USGS	05242300	1990-10-05	1710	A
USGS	05242300	1990-10-06	1610	A
USGS	05242300	1990-10-07	2090	A
USGS	05242300	1990-10-08	2260	A
USGS	05242300	1990-10-09	2310	A
USGS	05242300	1990-10-10	2190	A
USGS	05242300	1990-10-11	2180	A
USGS	05242300	1990-10-12	2110	A
USGS	05242300	1990-10-13	1940	A
USGS	05242300	1990-10-14	1930	A
USGS	05242300	1990-10-15	1950	A
USGS	05242300	1990-10-16	2040	A
USGS	05242300	1990-10-17	2260	A
USGS	05242300	1990-10-18	2200	A
USGS	05242300	1990-10-19	2160	A
USGS	05242300	1990-10-20	2800	A
USGS	05242300	1990-10-21	3270	A
USGS	05242300	1990-10-22	3520	A
USGS	05242300	1990-10-23	3820	A
USGS	05242300	1990-10-24	4120	A
USGS	05242300	1990-10-25	4150	A
USGS	05242300	1990-10-26	4210	A
USGS	05242300	1990-10-27	4040	A
USGS	05242300	1990-10-28	4110	A
USGS	05242300	1990-10-29	3910	A
USGS	05242300	1990-10-30	4010	A
USGS	05242300	1990-10-31	3930	A
USGS	05242300	1990-11-01	3700	A
USGS	05242300	1990-11-02	3900	A
USGS	05242300	1990-11-03	3660	A
USGS	05242300	1990-11-04	3710	A
USGS	05242300	1990-11-05	3720	A
USGS	05242300	1990-11-06	3540	A
USGS	05242300	1990-11-07	3710	A
USGS	05242300	1990-11-08	3460	A
USGS	05242300	1990-11-09	3200	A
USGS	05242300	1990-11-10	3130	A
USGS	05242300	1990-11-11	2740	A
USGS	05242300	1990-11-12	2830	A
USGS	05242300	1990-11-13	2840	A
USGS	05242300	1990-11-14	2780	A
USGS	05242300	1990-11-15	2800	A
USGS	05242300	1990-11-16	2820	A
USGS	05242300	1990-11-17	2720	A
USGS	05242300	1990-11-18	2540	A
USGS	05242300	1990-11-19	2610	A
USGS	05242300	1990-11-20	2520	A
USGS	05242300	1990-11-21	2460	A
USGS	05242300	1990-11-22	2420	A
USGS	05242300	1990-11-23	2400	A
USGS	05242300	1990-11-24	2300	A
USGS	05242300	1990-11-25	2090	A
USGS	05242300	1990-11-26	2010	A
USGS	05242300	1990-11-27	1570	A
USGS	05242300	1990-11-28	1310	A
USGS	05242300	1990-11-29	1300	A
USGS	05242300	1990-11-30	1330	A
USGS	05242300	1990-12-01	1550	A
USGS	05242300	1990-12-02	1600	A
USGS	05242300	1990-12-03	1540	A
USGS	05242300	1990-12-04	1510	A
USGS	05242300	1990-12-05	1600	A
USGS	05242300	1990-12-06	1580	A
USGS	05242300	1990-12-07	1500	A
USGS	05242300	1990-12-08	1550	A
USGS	05242300	1990-12-09	1650	A
USGS	05242300	1990-12-10	1500	A
USGS	05242300	1990-12-11	1400	A
USGS	05242300	1990-12-12	1410	A
USGS	05242300	1990-12-13	1480	A
USGS	05242300	1990-12-14	1310	A
USGS	05242300	1990-12-15	1390	A
USGS	05242300	1990-12-16	1300	A
USGS	05242300	1990-12-17	1230	A
USGS	05242300	1990-12-18	1100	A
USGS	05242300	1990-12-19	990	A
USGS	05242300	1990-12-20	1000	A
USGS	05242300	1990-12-21	1100	A
USGS	05242300	1990-12-22	1150	A
USGS	05242300	1990-12-23	1200	A
USGS	05242300	1990-12-24	1240	A
USGS	05242300	1990-12-25	1260	A
USGS	05242300	1990-12-26	1290	A
USGS	05242300	1990-12-27	1390	A
USGS	05242300	1990-12-28	1380	A
USGS	05242300	1990-12-29	1340	A
USGS	05242300	1990-12-30	1340	A
USGS	05242300	1990-12-31	1350	A
USGS	05242300	1991-01-01	1330	A
USGS	05242300	1991-01-02	1260	A
USGS	05242300	1991-01-03	1150	A
USGS	05242300	1991-01-04	1240	A
USGS	05242300	1991-01-05	1230	A
USGS	05242300	1991-01-06	1220	A
USGS	05242300	1991-01-07	1210	A
USGS	05242300	1991-01-08	1060	A
USGS	05242300	1991-01-09	1110	A
USGS	05242300	1991-01-10	1180	A
USGS	05242300	1991-01-11	1190	A
USGS	05242300	1991-01-12	1130	A
USGS	05242300	1991-01-13	1140	A
USGS	05242300	1991-01-14	1110	A
USGS	05242300	1991-01-15	1060	A
USGS	05242300	1991-01-16	1100	A
USGS	05242300	1991-01-17	1110	A
USGS	05242300	1991-01-18	1140	A
USGS	05242300	1991-01-19	1050	A
USGS	05242300	1991-01-20	1060	A
USGS	05242300	1991-01-21	1090	A
USGS	05242300	1991-01-22	1100	A
USGS	05242300	1991-01-23	1130	A
USGS	05242300	1991-01-24	1200	A
USGS	05242300	1991-01-25	1130	A
USGS	05242300	1991-01-26	1050	A
USGS	05242300	1991-01-27	1040	A
USGS	05242300	1991-01-28	1180	A
USGS	05242300	1991-01-29	1130	A
USGS	05242300	1991-01-30	1130	A
USGS	05242300	1991-01-31	1080	A
USGS	05242300	1991-02-01	1090	A
USGS	05242300	1991-02-02	1090	A
USGS	05242300	1991-02-03	1080	A
USGS	05242300	1991-02-04	1030	A
USGS	05242300	1991-02-05	1010	A
USGS	05242300	1991-02-06	1030	A
USGS	05242300	1991-02-07	1090	A
USGS	05242300	1991-02-08	1080	A
USGS	05242300	1991-02-09	1050	A
USGS	05242300	1991-02-10	1030	A
USGS	05242300	1991-02-11	1040	A
USGS	05242300	1991-02-12	1040	A
USGS	05242300	1991-02-13	1040	A
USGS	05242300	1991-02-14	1060	A
USGS	05242300	1991-02-15	1090	A
USGS	05242300	1991-02-16	993	A
USGS	05242300	1991-02-17	995	A
USGS	05242300	1991-02-18	976	A
USGS	05242300	1991-02-19	981	A
USGS	05242300	1991-02-20	975	A
USGS	05242300	1991-02-21	1020	A
USGS	05242300	1991-02-22	1090	A
USGS	05242300	1991-02-23	1080	A
USGS	05242300	1991-02-24	1110	A
USGS	05242300	1991-02-25	983	A
USGS	05242300	1991-02-26	991	A
USGS	05242300	1991-02-27	1080	A
USGS	05242300	1991-02-28	997	A
USGS	05242300	1991-03-01	1020	A
USGS	05242300	1991-03-02	1070	A
USGS	05242300	1991-03-03	1020	A
USGS	05242300	1991-03-04	1010	A
USGS	05242300	1991-03-05	1090	A
USGS	05242300	1991-03-06	1090	A
USGS	05242300	1991-03-07	1010	A
USGS	05242300	1991-03-08	988	A
USGS	05242300	1991-03-09	1010	A
USGS	05242300	1991-03-10	995	A
USGS	05242300	1991-03-11	980	A
USGS	05242300	1991-03-12	917	A
USGS	05242300	1991-03-13	919	A
USGS	05242300	1991-03-14	1060	A
USGS	05242300	1991-03-15	1040	A
USGS	05242300	1991-03-16	1010	A
USGS	05242300	1991-03-17	1060	A
USGS	05242300	1991-03-18	1100	A
USGS	05242300	1991-03-19	1100	A
USGS	05242300	1991-03-20	1230	A
USGS	05242300	1991-03-21	1470	A
USGS	05242300	1991-03-22	1410	A
USGS	05242300	1991-03-23	1340	A
USGS	05242300	1991-03-24	1610	A
USGS	05242300	1991-03-25	1620	A
USGS	05242300	1991-03-26	2080	A
USGS	05242300	1991-03-27	2490	A
USGS	05242300	1991-03-28	2830	A
USGS	05242300	1991-03-29	2880	A
USGS	05242300	1991-03-30	2930	A
USGS	05242300	1991-03-31	3100	A
USGS	05242300	1991-04-01	2960	A
USGS	05242300	1991-04-02	3120	A
USGS	05242300	1991-04-03	3420	A
USGS	05242300	1991-04-04	3860	A
USGS	05242300	1991-04-05	3800	A
USGS	05242300	1991-04-06	3570	A
USGS	05242300	1991-04-07	3400	A
USGS	05242300	1991-04-08	3420	A
USGS	05242300	1991-04-09	3480	A
USGS	05242300	1991-04-10	3590	A
USGS	05242300	1991-04-11	3590	A
USGS	05242300	1991-04-12	3710	A
USGS	05242300	1991-04-13	3880	A
USGS	05242300	1991-04-14	3830	A
USGS	05242300	1991-04-15	4090	A
USGS	05242300	1991-04-16	4360	A
USGS	05242300	1991-04-17	4550	A
USGS	05242300	1991-04-18	4760	A
USGS	05242300	1991-04-19	5030	A
USGS	05242300	1991-04-20	5080	A
USGS	05242300	1991-04-21	4910	A
USGS	05242300	1991-04-22	4770	A
USGS	05242300	1991-04-23	4600	A
USGS	05242300	1991-04-24	4550	A
USGS	05242300	1991-04-25	4440	A
USGS	05242300	1991-04-26	4420	A
USGS	05242300	1991-04-27	4030	A
USGS	05242300	1991-04-28	3890	A
USGS	05242300	1991-04-29	4200	A
USGS	05242300	1991-04-30	3950	A
USGS	05242300	1991-05-01	4540	A
USGS	05242300	1991-05-02	4960	A
USGS	05242300	1991-05-03	5230	A
USGS	05242300	1991-05-04	5460	A
USGS	05242300	1991-05-05	6170	A
USGS	05242300	1991-05-06	7020	A
USGS	05242300	1991-05-07	8050	A
USGS	05242300	1991-05-08	8750	A
USGS	05242300	1991-05-09	9120	A
USGS	05242300	1991-05-10	9360	A
USGS	05242300	1991-05-11	9470	A
USGS	05242300	1991-05-12	9430	A
USGS	05242300	1991-05-13	9390	A
USGS	05242300	1991-05-14	9450	A
USGS	05242300	1991-05-15	9290	A
USGS	05242300	1991-05-16	8950	A
USGS	05242300	1991-05-17	8180	A
USGS	05242300	1991-05-18	7520	A
USGS	05242300	1991-05-19	7110	A
USGS	05242300	1991-05-20	6740	A
USGS	05242300	1991-05-21	6140	A
USGS	05242300	1991-05-22	5490	A
USGS	05242300	1991-05-23	4880	A
USGS	05242300	1991-05-24	4630	A
USGS	05242300	1991-05-25	4450	A
USGS	05242300	1991-05-26	4420	A
USGS	05242300	1991-05-27	4240	A
USGS	05242300	1991-05-28	4480	A
USGS	05242300	1991-05-29	4460	A
USGS	05242300	1991-05-30	4800	A
USGS	05242300	1991-05-31	4870	A
USGS	05242300	1991-06-01	4860	A
USGS	05242300	1991-06-02	5010	A
USGS	05242300	1991-06-03	5220	A
USGS	05242300	1991-06-04	5150	A
USGS	05242300	1991-06-05	5060	A
USGS	05242300	1991-06-06	4760	A
USGS	05242300	1991-06-07	4630	A
USGS	05242300	1991-06-08	4200	A
USGS	05242300	1991-06-09	3830	A
USGS	05242300	1991-06-10	3730	A
USGS	05242300	1991-06-11	3450	A
USGS	05242300	1991-06-12	3330	A
USGS	05242300	1991-06-13	2880	A
USGS	05242300	1991-06-14	2890	A
USGS	05242300	1991-06-15	2830	A
USGS	05242300	1991-06-16	2400	A
USGS	05242300	1991-06-17	2570	A
USGS	05242300	1991-06-18	2480	A
USGS	05242300	1991-06-19	2370	A
USGS	05242300	1991-06-20	2410	A
USGS	05242300	1991-06-21	2340	A
USGS	05242300	1991-06-22	2290	A
USGS	05242300	1991-06-23	2390	A
USGS	05242300	1991-06-24	2580	A
USGS	05242300	1991-06-25	2430	A
USGS	05242300	1991-06-26	2390	A
USGS	05242300	1991-06-27	3030	A
USGS	05242300	1991-06-28	2850	A
USGS	05242300	1991-06-29	3050	A
USGS	05242300	1991-06-30	3070	A
USGS	05242300	1991-07-01	3690	A
USGS	05242300	1991-07-02	4090	A
USGS	05242300	1991-07-03	4500	A
USGS	05242300	1991-07-04	4630	A
USGS	05242300	1991-07-05	4640	A
USGS	05242300	1991-07-06	4680	A
USGS	05242300	1991-07-07	4700	A
USGS	05242300	1991-07-08	4700	A
USGS	05242300	1991-07-09	4580	A
USGS	05242300	1991-07-10	4170	A
USGS	05242300	1991-07-11	3560	A
USGS	05242300	1991-07-12	3590	A
USGS	05242300	1991-07-13	3650	A
USGS	05242300	1991-07-14	3640	A
USGS	05242300	1991-07-15	3640	A
USGS	05242300	1991-07-16	3340	A
USGS	05242300	1991-07-17	3190	A
USGS	05242300	1991-07-18	3100	A
USGS	05242300	1991-07-19	3270	A
USGS	05242300	1991-07-20	2850	A
USGS	05242300	1991-07-21	2790	A
USGS	05242300	1991-07-22	2780	A
USGS	05242300	1991-07-23	2840	A
USGS	05242300	1991-07-24	2740	A
USGS	05242300	1991-07-25	2580	A
USGS	05242300	1991-07-26	2440	A
USGS	05242300	1991-07-27	2350	A
USGS	05242300	1991-07-28	2220	A
USGS	05242300	1991-07-29	2210	A
USGS	05242300	1991-07-30	2260	A
USGS	05242300	1991-07-31	2480	A
USGS	05242300	1991-08-01	2640	A
USGS	05242300	1991-08-02	2470	A
USGS	05242300	1991-08-03	2370	A
USGS	05242300	1991-08-04	2320	A
USGS	05242300	1991-08-05	2040	A
USGS	05242300	1991-08-06	2030	A
USGS	05242300	1991-08-07	1780	A
USGS	05242300	1991-08-08	1490	A
USGS	05242300	1991-08-09	1530	A
USGS	05242300	1991-08-10	1460	A
USGS	05242300	1991-08-11	1260	A
USGS	05242300	1991-08-12	1320	A
USGS	05242300	1991-08-13	1320	A
USGS	05242300	1991-08-14	1150	A
USGS	05242300	1991-08-15	1070	A
USGS	05242300	1991-08-16	1100	A
USGS	05242300	1991-08-17	1150	A
USGS	05242300	1991-08-18	929	A
USGS	05242300	1991-08-19	977	A
USGS	05242300	1991-08-20	1240	A
USGS	05242300	1991-08-21	1370	A
USGS	05242300	1991-08-22	1340	A
USGS	05242300	1991-08-23	1330	A
USGS	05242300	1991-08-24	1270	A
USGS	05242300	1991-08-25	1350	A
USGS	05242300	1991-08-26	1300	A
USGS	05242300	1991-08-27	1430	A
USGS	05242300	1991-08-28	1200	A
USGS	05242300	1991-08-29	1230	A
USGS	05242300	1991-08-30	1200	A
USGS	05242300	1991-08-31	1350	A
USGS	05242300	1991-09-01	1320	A
USGS	05242300	1991-09-02	1180	A
USGS	05242300	1991-09-03	1550	A
USGS	05242300	1991-09-04	1280	A
USGS	05242300	1991-09-05	1540	A
USGS	05242300	1991-09-06	1210	A
USGS	05242300	1991-09-07	1390	A
USGS	05242300	1991-09-08	1550	A
USGS	05242300	1991-09-09	1830	A
USGS	05242300	1991-09-10	2360	A
USGS	05242300	1991-09-11	3050	A
USGS	05242300	1991-09-12	3290	A
USGS	05242300	1991-09-13	3560	A
USGS	05242300	1991-09-14	3520	A
USGS	05242300	1991-09-15	3570	A
USGS	05242300	1991-09-16	3490	A
USGS	05242300	1991-09-17	3520	A
USGS	05242300	1991-09-18	3150	A
USGS	05242300	1991-09-19	2800	A
USGS	05242300	1991-09-20	2700	A
USGS	05242300	1991-09-21	2490	A
